,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,probability,prediction
402,9cc2cc33-730e-86eb-e910-ff1ec6fd,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
403,9dfba79f-46d5-9b68-3a28-dff09283,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
404,9e184ea2-45e6-abdb-90a9-fb5b011b,Ordinary - Unregistered,0.16666666666666666,0.25,0.5833333333333334,12.0,Independant,1,"[0.16666666666666666,0.25,0.5833333333333334]","[0.7290073674892945,9.979445986787374e-16,0.2709926325107045]",0
405,a070cc15-8fb3-b7eb-834d-d191a652,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[0.776771312262794,2.941544746788618e-15,0.22322868773720322]",0
406,a134cb86-69ed-3ceb-ab8b-42799b5f,Ordinary - Unregistered,0.14285714285714285,0.14285714285714285,0.7142857142857143,7.0,Independant,1,"[0.14285714285714285,0.14285714285714285,0.7142857142857143]","[0.7710352646702001,2.2237859696320943e-15,0.2289647353297977]",0
407,a1ac05b8-d131-07d0-f419-28c0d19a,Ordinary - Unregistered,0.15384615384615385,0.8461538461538461,0.0,13.0,Catch-upper,2,"[0.15384615384615385,0.8461538461538461,0.0]","[0.294854367639072,7.742632983831869e-16,0.7051456323609272]",2
408,a1b9f7ef-402c-6b05-11c1-33d65f47,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
409,a4793f2a-58de-2b33-168f-32424641,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
410,a55e8048-fa92-f072-72e3-bbf2ba61,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
411,a7010942-2bf9-c022-3897-796a718f,Ordinary - Unregistered,0.2,0.6,0.2,5.0,Catch-upper,2,"[0.2,0.6,0.2]","[0.5136349371346877,4.371849141554564e-16,0.4863650628653119]",0
412,a898d118-8b18-a02c-ae58-2a774d5f,Ordinary - Unregistered,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.0,Independant,1,"[0.14285714285714285,0.2857142857142857,0.5714285714285714]","[0.7199620784827434,9.788107517662796e-16,0.28003792151725565]",0
413,a932ede5-1443-cb58-2838-6a6efc0a,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
414,a96e9db0-5940-66d7-4a98-2379b34d,Ordinary - Unregistered,0.2,0.0,0.8,5.0,Independant,1,"[0.2,0.0,0.8]","[0.7875815742115494,4.333380927131364e-15,0.21241842578844633]",0
415,a98a0de3-d8ed-675c-b2d4-ac776c7b,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
416,a997f5a7-10f2-8566-1c1d-559b423c,Ordinary - Unregistered,0.15384615384615385,0.6153846153846154,0.23076923076923078,13.0,Catch-upper,2,"[0.15384615384615385,0.6153846153846154,0.23076923076923078]","[0.5041732832037312,4.896976576073712e-16,0.49582671679626816]",0
417,abcc36e1-adfa-f564-04d4-d632273a,Ordinary - Unregistered,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.679883286085819,3.7624250729633117e-16,0.32011671391418056]",0
418,abda0840-539e-d7ad-7f3c-e3005350,Ordinary - Unregistered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,"[0.5714285714285714,0.42857142857142855,0.0]","[0.7058432398433263,4.66514260943294e-16,0.2941567601566732]",0
419,abe4e05a-6e7f-9b91-6fc2-255d8ca8,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
420,ad50ec3a-b5fa-441c-dff6-68962309,Ordinary - Unregistered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[0.38778242913983063,5.85689422751798e-16,0.6122175708601687]",2
421,af82af91-5c05-62ed-d5f4-ab452057,Ordinary - Unregistered,0.125,0.375,0.5,8.0,Independant,1,"[0.125,0.375,0.5]","[0.6804251611174429,7.673043531358805e-16,0.31957483888255633]",0
422,b203a259-8fca-f544-f793-7196165c,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
423,b341bfef-bd17-e48f-e3c6-71e45a3b,Ordinary - Unregistered,0.125,0.875,0.0,8.0,Catch-upper,2,"[0.125,0.875,0.0]","[0.2693310913533239,8.581373495913879e-16,0.7306689086466753]",2
424,b3ed71c3-f69d-be41-8e55-61063ba5,Ordinary - Unregistered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[0.38778242913983063,5.85689422751798e-16,0.6122175708601687]",2
425,b4317fab-f533-bf46-11da-30745ab3,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
426,b51ab28b-c73d-4a8a-b819-1193d14b,Ordinary - Unregistered,0.5454545454545454,0.2727272727272727,0.18181818181818182,11.0,Follower,0,"[0.5454545454545454,0.2727272727272727,0.18181818181818182]","[0.7422639945282247,3.7083246736696374e-16,0.2577360054717749]",0
427,bbed801c-180e-99dc-7c6b-4a6ce07e,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,"[0.75,0.0,0.25]","[0.8362316340390517,8.206072365516757e-16,0.1637683659609476]",0
